,erm_test_risk,erm_train_risk,reg_L2_test_risk,reg_L2_train_risk,test_risk,train_risk
alpha=100000.0/batch_size=100/data=sensorless/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.0778355076909065,0.0745197236537933,0.9108839631080629,0.906884491443634,0.0786217227578163,0.076297253370285
alpha=100000.0/batch_size=100/data=fashionmnist/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.1638857126235962,0.159571424126625,0.1657428592443466,0.1602285653352737,0.1629428565502166,0.1588285714387893
alpha=100000.0/batch_size=100/data=fashionmnist/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.1669999957084655,0.1626285761594772,0.1638571470975875,0.1588857173919677,0.1603428572416305,0.1556285768747329
alpha=100000.0/batch_size=100/data=mnist/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.1272857189178466,0.119142860174179,0.1246000006794929,0.1162000000476837,0.1197428554296493,0.1118571460247039
alpha=100000.0/batch_size=100/data=mnist/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.1272857189178466,0.119142860174179,0.0947428569197654,0.0835999995470047,0.0941428542137146,0.0841142833232879
alpha=100000.0/batch_size=100/data=adult/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.1634602546691894,0.1654062122106552,0.2068019956350326,0.2065366357564926,0.2068904489278793,0.2065366357564926
alpha=100000.0/batch_size=100/data=adult/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.1634602546691894,0.1654062122106552,0.2476228326559066,0.24806509912014,0.2476228326559066,0.24806509912014
alpha=100000.0/batch_size=100/data=adult/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.1634602546691894,0.1654062122106552,0.2068904489278793,0.2065366357564926,0.166423425078392,0.1669099032878875
alpha=100000.0/batch_size=100/data=adult/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.1657600253820419,0.1669541299343109,0.2476228326559066,0.24806509912014,0.1644774675369262,0.1641678810119629
alpha=100000.0/batch_size=100/data=adult/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.1634602546691894,0.1654062122106552,0.2476228326559066,0.24806509912014,0.1638140678405761,0.1654946655035019
alpha=100000.0/batch_size=100/data=adult/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.1657600253820419,0.1669541299343109,0.2068904489278793,0.2065366357564926,0.1631506830453872,0.1652293056249618
alpha=100000.0/batch_size=100/data=adult/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.8/seed=0/width_size=600,0.1657600253820419,0.1669541299343109,0.2068019956350326,0.2065366357564926,0.1638140678405761,0.1650081723928451
alpha=100000.0/batch_size=100/data=adult/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.8/seed=0/width_size=600,0.1634602546691894,0.1654062122106552,0.2476228326559066,0.24806509912014,0.1640794277191162,0.1644774675369262
